0,C0,C1,C2,C3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
P0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,3,5,0,0,4,0,0,3
P1,4,0,4,0,0,0,0,0,0,0,0,0,4.125,0,0,3,4.67,0,0,4,0,0,4
P2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0
P3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
P4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
P5,0,0,0,0,0,0,0,3.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0
P6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
P9,4,0,0,0,0,1,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,3
P10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
P11,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
P12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
P15,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,4
P16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.5,4,0,5,0,0,0